# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-19 18:49:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /home/Lab_2/samples/code_5-20230319184917_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.637133
# Diagonal elements of inverse mass matrix:
# 1.19546
-3.50504,0.997667,0.637133,1,1,0,3.5154,0.0646076
-1.2647,0.913056,0.637133,2,5,0,4.0135,1.1613
-1.47022,0.973899,0.637133,2,3,0,1.54218,1.71641
-1.47022,0.5631,0.637133,1,1,0,2.54804,1.71641
-1.25184,0.394284,0.637133,2,3,0,4.84892,0.946654
-1.88351,0.954386,0.637133,2,3,0,1.96584,2.36947
-2.5519,0.758931,0.637133,1,1,0,2.69046,3.20679
-2.33562,1,0.637133,1,1,0,2.8049,2.95045
-1.43824,1,0.637133,1,1,0,2.06073,1.65346
-2.68676,0.833975,0.637133,3,7,0,2.8198,0.133154
-1.45793,0.840654,0.637133,1,3,0,3.8425,0.52835
-1.3063,1,0.637133,2,3,0,1.45726,0.729116
-1.30246,0.991785,0.637133,2,3,0,1.42772,0.737559
-1.93036,0.898136,0.637133,1,3,0,2.49325,0.283403
-1.31877,0.988228,0.637133,1,3,0,2.34825,0.703914
-1.29301,0.982909,0.637133,1,3,0,1.56709,1.28574
-1.5725,0.860697,0.637133,1,3,0,2.40308,0.442354
-1.52443,1,0.637133,1,1,0,1.57906,0.474905
-1.25177,0.982653,0.637133,1,3,0,1.88012,1.05413
-1.2528,0.999834,0.637133,1,1,0,1.25285,1.06843
-1.29305,0.995724,0.637133,2,3,0,1.29916,1.28588
-1.56997,0.883112,0.637133,1,3,0,2.39493,0.443966
-1.52334,1,0.637133,2,3,0,1.57693,0.475695
-1.61391,0.993587,0.637133,2,3,0,1.70854,0.417386
-2.55634,0.837012,0.637133,1,3,0,3.15658,0.150362
-2.44297,0.957788,0.637133,3,7,0,2.73125,0.167479
-2.20247,1,0.637133,1,1,0,2.43606,0.212321
-2.68533,0.995787,0.637133,3,7,0,2.77459,0.133329
-2.07044,1,0.637133,2,3,0,2.71623,0.243431
-2.54868,0.979351,0.637133,3,7,0,3.54254,0.151451
-2.34554,1,0.637133,1,1,0,2.54739,0.184088
-2.20239,1,0.637133,1,1,0,2.35248,0.212338
-1.27235,0.996776,0.637133,3,7,0,2.52544,0.822617
-1.25354,0.986639,0.637133,3,7,0,1.45123,0.926597
-1.42555,0.966635,0.637133,1,3,0,1.56759,0.559214
-1.445,0.998378,0.637133,1,1,0,1.45633,0.540223
-1.35079,0.995205,0.637133,3,7,0,1.51018,1.45703
-1.31232,1,0.637133,1,1,0,1.34664,1.34985
-1.34858,0.984722,0.637133,2,3,0,1.46272,1.45139
-1.29805,1,0.637133,1,1,0,1.33907,1.30345
-1.35186,0.892664,0.637133,2,3,0,2.4919,0.648691
-2.15802,0.862338,0.637133,1,3,0,2.87728,0.222189
-2.20752,0.998372,0.637133,1,1,0,2.2442,0.211237
-1.30583,0.972632,0.637133,2,5,0,2.30992,1.32936
-1.33931,0.94783,0.637133,1,3,0,1.69485,0.668031
-1.34519,0.999409,0.637133,1,1,0,1.35345,0.658765
-1.38087,0.996549,0.637133,1,1,0,1.38256,0.609377
-1.25088,0.992408,0.637133,1,3,0,1.47736,0.96301
-1.49351,0.945458,0.637133,1,3,0,1.75796,0.498343
-2.32546,0.854332,0.637133,1,3,0,2.8742,0.187757
-2.56674,0.993676,0.637133,1,1,0,2.56745,0.148898
-2.46462,1,0.637133,1,1,0,2.59111,0.164038
-2.3261,0.964758,0.637133,3,7,0,2.59734,0.187638
-2.09889,1,0.637133,1,1,0,2.31883,0.236251
-2.1108,0.999576,0.637133,1,1,0,2.16071,0.233327
-1.96744,0.990318,0.637133,2,3,0,2.60464,0.271999
-2.56605,0.992989,0.637133,3,7,0,2.61289,0.148994
-5.94945,0.952143,0.637133,2,5,0,6.65525,0.00864374
-4.9077,1,0.637133,2,3,0,5.97961,0.02012
-6.05488,0.996471,0.637133,1,3,0,6.46256,0.00793902
-6.12893,0.999971,0.637133,2,3,0,6.18894,0.00747891
-2.22173,0.803066,0.637133,2,5,0,6.09002,0.20822
-1.25958,1,0.637133,3,7,0,2.16018,0.881244
-1.25993,0.996019,0.637133,1,3,0,1.30538,1.13142
-1.2501,0.942236,0.637133,3,7,0,1.78517,1.01301
-2.73868,0.859243,0.637133,2,5,0,3.05952,0.126945
-1.72963,0.993599,0.637133,1,3,0,3.29756,0.358847
-1.84866,0.993549,0.637133,2,3,0,1.98189,0.311017
-1.40294,1,0.637133,2,3,0,1.8224,0.583302
-1.27713,0.999414,0.637133,3,7,0,1.39328,0.80586
-1.26883,0.991809,0.637133,1,3,0,1.38023,1.18377
-1.9519,0.784568,0.637133,1,3,0,3.52123,0.276699
-2.00037,0.999339,0.637133,2,3,0,2.03037,0.262395
-1.42459,0.993469,0.637133,3,7,0,2.17142,1.62547
-1.27271,0.99411,0.637133,2,3,0,1.47501,1.20291
-1.32596,0.965973,0.637133,1,3,0,1.54495,0.690662
-1.26753,1,0.637133,2,3,0,1.32657,0.84173
-1.67424,0.933062,0.637133,1,3,0,2.03964,0.385073
-1.2718,0.988935,0.637133,1,3,0,1.95572,0.824676
-1.25552,0.995611,0.637133,1,3,0,1.32299,1.09695
-1.35849,0.964232,0.637133,1,3,0,1.54966,0.639111
-2.20659,0.915055,0.637133,3,7,0,2.50806,0.211434
