# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-19 18:49:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /home/Lab_2/samples/code_5-20230319184917_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.736879
# Diagonal elements of inverse mass matrix:
# 1.31371
-1.94831,1,0.736879,1,1,0,2.06228,0.277803
-1.82878,1,0.736879,1,1,0,1.96452,0.318316
-2.42487,0.940444,0.736879,2,3,0,3.07427,0.170422
-2.23773,1,0.736879,2,7,0,2.3913,2.83071
-1.51088,1,0.736879,2,3,0,1.97109,1.79209
-1.51088,0.129275,0.736879,1,1,0,2.95049,1.79209
-1.81025,0.875201,0.736879,1,1,0,1.88648,2.26638
-1.9828,0.912507,0.736879,1,1,0,2.21121,2.50422
-1.42301,0.677006,0.736879,2,3,0,3.1519,0.561799
-1.9143,0.916038,0.736879,1,3,0,1.99972,0.288548
-2.18111,0.984616,0.736879,1,1,0,2.18399,0.216992
-1.29884,1,0.736879,1,3,0,2.57251,0.74588
-1.69676,0.953722,0.736879,1,3,0,1.81521,0.374056
-1.56326,1,0.736879,1,1,0,1.69106,0.448285
-1.67413,0.989637,0.736879,1,1,0,1.68461,0.385128
-1.9287,0.98045,0.736879,1,1,0,1.92885,0.283929
-1.37563,0.967202,0.736879,1,3,0,2.00255,0.616005
-1.3458,1,0.736879,1,1,0,1.37918,0.657832
