# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = code_5_model
# start_datetime = 2023-03-19 18:48:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 6000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 4838282
# output
#   file = /home/Lab_2/samples/code_5-20230319184803_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.00813
# Diagonal elements of inverse mass matrix:
# 1.18228
-1.30694,7.24729e-15,1.00813,1,1,0,4.57348,0.727728
-1.57986,0.805302,1.00813,2,3,0,2.54234,0.437729
-1.72248,0.992879,1.00813,2,3,0,1.75732,0.36207
-2.14843,0.952236,1.00813,1,1,0,2.15294,0.224394
-1.34883,1,1.00813,2,3,0,1.83598,1.45201
-1.34883,2.46842e-07,1.00813,1,1,0,3.45783,1.45201
-1.29139,1,1.00813,1,1,0,1.33847,1.27988
-1.71528,0.540878,1.00813,2,3,0,1.96653,0.365363
-1.71528,0.989407,1.00813,1,1,0,1.85351,0.365363
-1.27532,0.955608,1.00813,1,3,0,1.64284,0.811983
-1.35453,0.98282,1.00813,1,3,0,1.37867,1.46652
-2.33397,0.180584,1.00813,2,3,0,3.21215,0.18619
-3.37759,0.659043,1.00813,1,3,0,3.40405,0.0720789
-2.87165,1,1.00813,1,1,0,3.3859,0.112498
-1.32437,0.337368,1.00813,2,3,0,3.07141,0.693516
-1.2931,1,1.00813,1,1,0,1.32382,0.759875
-1.2931,0.0831064,1.00813,1,1,0,2.55185,0.759875
-1.62407,0.933184,1.00813,2,3,0,1.78938,0.411633
-2.90302,0.913564,1.00813,1,3,0,3.0824,0.109367
-3.68264,0.991532,1.00813,2,3,0,3.68306,0.0555448
-1.51051,0.994711,1.00813,1,3,0,4.22474,0.485187
-1.37243,1,1.00813,1,1,0,1.48962,0.62015
-1.43451,0.986386,1.00813,1,1,0,1.45432,0.550278
-1.43451,0.23203,1.00813,1,1,0,2.84131,0.550278
-1.50039,1,1.00813,2,3,0,1.71755,0.492934
-1.57895,0.995437,1.00813,2,3,0,1.6175,0.438292
